Date,Time,Temperature(℃),Humidity(%),Precipitation (mm),Visibility(m),Wind speed(m/s),"Pavement temperature
(℃)"
2022/12/24,0:00,2.9,82,0,33268,0.2,3.6
2022/12/24,0:02,3,82,0,31955,0.2,3.6
2022/12/24,0:03,3,82,0,32277,0.4,3.7
2022/12/24,0:04,2.9,82,0,32363,0.5,3.6
2022/12/24,0:05,2.9,82,0,32064,0.5,3.5
2022/12/24,0:06,2.8,82,0,32444,0.5,3.3
2022/12/24,0:07,2.9,82,0,31694,0.5,3.4
2022/12/24,0:08,2.9,82,0,31883,0.4,3.5
2022/12/24,0:09,2.8,82,0,32167,0.3,3.5
2022/12/24,0:10,2.8,82,0,32695,0.3,3.4
2022/12/24,0:11,2.8,82,0,31828,0.3,3.4
2022/12/24,0:12,2.9,82,0,31926,0.3,3.5
2022/12/24,0:13,2.9,82,0,31594,0.4,3.6
2022/12/24,0:14,2.9,82,0,31918,0.4,3.5
2022/12/24,0:15,2.9,82,0,31715,0.4,3.5
2022/12/24,0:16,2.9,83,0,30848,0.5,3.7
2022/12/24,0:17,2.8,83,0,30265,0.3,3.5
2022/12/24,0:18,2.9,83,0,30471,0.3,3.4
2022/12/24,0:19,2.9,83,0,30692,0.6,3.3
2022/12/24,0:20,2.8,83,0,31532,0.7,2.9
2022/12/24,0:21,2.8,82,0,32631,0.6,2.8
2022/12/24,0:22,2.8,83,0,31272,0.7,2.9
2022/12/24,0:23,2.8,83,0,32148,0.9,3
2022/12/24,0:24,2.7,83,0,32665,0.7,3.3
2022/12/24,0:25,2.7,83,0,32250,0.6,3.3
2022/12/24,0:26,2.7,83,0,31816,1,3.2
2022/12/24,0:27,2.6,83,0,31725,1.2,3.2
2022/12/24,0:28,2.7,83,0,31250,1.1,3
2022/12/24,0:29,2.6,83,0,31534,1,3
2022/12/24,0:30,2.6,83,0,31365,1.1,3.1
2022/12/24,0:31,2.6,84,0,30855,1,3.2
2022/12/24,0:32,2.6,84,0,31197,0.9,3.4
2022/12/24,0:33,2.5,84,0,31854,1.2,3.4
2022/12/24,0:34,2.5,84,0,31794,1.1,3.2
2022/12/24,0:35,2.5,84,0,31450,1,3.1
2022/12/24,0:36,2.6,84,0,30866,0.8,3.1
2022/12/24,0:37,2.5,84,0,31755,0.7,3.3
2022/12/24,0:38,2.5,84,0,31593,0.7,3.3
2022/12/24,0:39,2.5,84,0,31305,0.4,3.3
2022/12/24,0:40,2.6,84,0,31007,0.1,3.4
2022/12/24,0:41,2.6,84,0,31061,0.2,3.6
